Date,Open,High,Low,Close
2021-03-01,1418.67,1572.0,1409.91,1569.86
2021-03-02,1570.0,1602.9,1455.52,1486.78
2021-03-03,1486.79,1656.94,1475.47,1567.69
2021-03-04,1567.68,1624.87,1506.36,1539.23
2021-03-05,1539.22,1548.96,1441.66,1528.31
2021-03-06,1528.08,1671.58,1513.03,1650.35
2021-03-07,1650.68,1734.16,1630.35,1726.16
2021-03-08,1726.46,1843.59,1664.96,1833.18
2021-03-09,1833.22,1870.77,1798.2,1870.51
2021-03-10,1870.5,1877.69,1757.0,1795.12
2021-03-11,1795.28,1846.7,1725.0,1825.78
2021-03-12,1825.78,1841.88,1719.72,1766.1
2021-03-13,1766.13,1944.3,1727.75,1922.35
2021-03-14,1922.35,1933.1,1836.0,1848.1
2021-03-15,1848.1,1891.76,1730.0,1793.48
2021-03-16,1793.99,1819.5,1711.68,1805.12
2021-03-17,1805.01,1838.88,1741.18,1823.58
2021-03-18,1823.58,1850.0,1759.04,1776.08
2021-03-19,1775.92,1840.61,1733.47,1809.1
2021-03-20,1809.01,1868.83,1800.86,1806.1
2021-03-21,1806.57,1817.16,1747.0,1782.98
2021-03-22,1783.23,1807.51,1655.15,1680.97
2021-03-23,1681.17,1721.17,1650.0,1668.08
2021-03-24,1668.2,1740.86,1536.92,1581.84
2021-03-25,1581.88,1622.0,1549.4,1585.74
2021-03-26,1585.83,1699.93,1585.79,1698.84
2021-03-27,1698.84,1732.67,1666.41,1712.63
2021-03-28,1712.52,1725.66,1661.4,1687.01
2021-03-29,1687.16,1841.0,1677.85,1816.74
2021-03-30,1816.76,1859.13,1786.3,1840.46
2021-03-31,1840.41,1947.29,1768.15,1919.37
2021-04-01,1919.37,1984.77,1885.02,1968.05
2021-04-02,1968.05,2146.0,1948.48,2133.69
2021-04-03,2133.69,2138.12,1996.3,2008.52
2021-04-04,2008.59,2091.83,1975.24,2075.69
2021-04-05,2075.7,2130.64,2002.15,2107.38
2021-04-06,2107.43,2151.0,2044.65,2112.21
2021-04-07,2112.22,2129.01,1930.01,1963.47
2021-04-08,1963.46,2084.61,1947.35,2080.46
2021-04-09,2080.39,2100.0,2047.57,2066.87
2021-04-10,2067.19,2200.0,2058.0,2133.49
2021-04-11,2133.49,2165.02,2113.4,2151.36
2021-04-12,2151.42,2203.46,2102.0,2137.69
2021-04-13,2137.86,2318.0,2135.53,2299.19
2021-04-14,2299.19,2447.29,2281.33,2432.6
2021-04-15,2432.59,2543.47,2400.0,2514.04
2021-04-16,2514.04,2548.29,2300.0,2422.67
2021-04-17,2422.38,2495.0,2310.0,2317.6
2021-04-18,2317.65,2340.0,1946.8,2235.64
2021-04-19,2235.65,2300.0,2080.0,2161.12
2021-04-20,2161.12,2346.62,2055.0,2330.03
2021-04-21,2330.26,2469.54,2235.16,2357.06
2021-04-22,2357.06,2644.47,2303.44,2397.94
2021-04-23,2397.94,2442.89,2107.0,2367.39
2021-04-24,2367.39,2368.74,2154.8,2213.35
2021-04-25,2214.08,2356.64,2168.0,2320.49
2021-04-26,2320.44,2542.8,2303.64,2532.6
2021-04-27,2532.06,2680.0,2480.29,2666.13
2021-04-28,2666.13,2760.0,2559.44,2748.24
2021-04-29,2748.23,2798.0,2668.0,2757.04
2021-04-30,2757.04,2798.3,2723.09,2772.42
2021-05-01,2772.42,2954.28,2743.41,2944.77
2021-05-02,2944.83,2985.0,2852.26,2949.56
2021-05-03,2949.33,3454.0,2949.32,3431.04
2021-05-04,3431.04,3527.0,3160.0,3239.01
2021-05-05,3239.01,3549.34,3200.23,3524.26
2021-05-06,3524.33,3605.4,3376.47,3489.73
2021-05-07,3489.74,3587.0,3353.23,3479.53
2021-05-08,3479.79,3958.33,3449.27,3910.26
